Nr.,customerID,networkScore,influenceScore,NPSScore,customerLTV,sentimentScore,propensityScore,Salutation,thumbnail,Title,Name,Fullname,Last name,dob,Street,Postal Code,City,WikidataID,WikidataPlace,TelephoneNumber,CellphoneNumber,Telefax,E-Mail,Newsletter
1,501,4,40,3,3128,4,0,Herr,15,Dr.,Miguel,Miguel  Hörmann,Hörmann,1979-07-15,Catharina-Müller-Str. 31,56357,Strüth,Q693168,http://www.wikidata.org/entity/Q693168,06772 / 70237336,0172 / 6715323,06772 / 38419641,miguel.hoermann@mail.xyz,yes
2,502,4,99,2,9525,5,31,Herr,7,Prof.,Justus,Justus  Tucker,Tucker,1928-04-02,Horstmarer Landweg 107,74865,Neckarzimmern,Q536318,http://www.wikidata.org/entity/Q536318,06261 / 40359894,0153 / 5703189,06261 / 84979810,j.tucker@mail.xyz,yes
3,503,4,46,10,2706,4,27,Herr,13,Dr.,Silas,Silas  Höhne,Höhne,1997-01-23,Am Getterbach 45,94034,Passau,Q4190,http://www.wikidata.org/entity/Q4190,0851 / 56095915,0165 / 3577691,0851 / 71704200,s.hoehne@mail.xyz,yes
4,504,4,90,1,8904,1,12,Herr,18,Prof.,Muhammed,Muhammed  Winter,Winter,1993-09-13,Münsterstr. 22,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,08205 / 79205050,0172 / 7675467,08205 / 52679692,m.winter@mail.xyz,yes
5,505,5,79,9,7531,1,39,Herr,3,Dr.,Frank,Frank  Schramm,Schramm,1958-01-27,Overbergstr. 177,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,08571 / 83252734,0159 / 8454347,08571 / 87032910,frank.schramm@mail.xyz,yes
6,506,4,60,2,4486,5,23,Frau,56,Dr.,Alexa,Alexa  Mündel,Mündel,1950-09-04,Erpeler Str. 117,97618,Wülfershausen,Q581543,http://www.wikidata.org/entity/Q581543,09762 / 55361617,0171 / 8476478,09762 / 81436897,alexa.muendel@mail.xyz,yes
7,507,2,65,3,3337,4,36,Frau,63,Dr.,Jenny,Jenny  Waibel,Waibel,1927-12-17,Rosenplatz 113,38372,Büddenstedt,Q645311,http://www.wikidata.org/entity/Q645311,05352 / 4679521,0172 / 4180308,05352 / 21086115,jenny.waibel@mail.xyz,yes
8,508,2,51,4,6271,2,30,Frau,58,Dr.,Amelie,Amelie  Sandner,Sandner,1964-03-14,Hillscheider Weg 140,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,04331 / 90240104,0167 / 6161157,04331 / 35597568,a.sandner@mail.xyz,yes
9,509,1,93,2,6025,2,4,Herr,8,Prof.,Björn,Björn  Dörr,Dörr,1974-12-08,Johanniterstr. 17,24994,Weesby,Q528864,http://www.wikidata.org/entity/Q528864,04639 / 59001242,0168 / 7446942,04639 / 14268827,b.doerr@mail.xyz,yes
10,510,2,84,7,2073,3,93,Frau,62,Dr.,Anika,Anika  Lehmann,Lehmann,1943-10-26,Dodostr. 87,80331,München,Q1726,http://www.wikidata.org/entity/Q1726,05921 / 33922487,0171 / 1628055,05921 / 14274328,a.lehmann@mail.xyz,yes
